Country,Rank,Track_id,Streams,Track Name,Artist,URL,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,duration_ms,key,mode,Artist_id,Artist_popularity,Artist_follower,Artist_img,acousticness_norm,danceability_norm,energy_norm,liveness_norm,loudness_norm,speechiness_norm,valence_norm,tempo_norm,mode_norm
global,11.0,5p7ujcrUXASCNwRaWNHR1C,605653817,Without Me,Halsey,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,0.297,0.752,0.488,9.11e-06,0.0936,-7.05,0.0705,0.5329999999999999,136.041,4,201661,6,1,26VFTg2z8YR0cCuwLzESi2,92,9063023,https://i.scdn.co/image/1ccc88afcd13131dc35a1bd028922dbc748a55fb,0.15316545082984942,0.4967741168801607,-0.7916196293107124,-0.5937107173294395,-0.20615452501735626,-0.5219853607056881,0.205508690345149,0.45218211770789507,0.8457450651849541
global,12.0,5iwz1NiezX7WWjnCgY5TH4,591435651,Calma - Remix,Pedro Capó,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,0.32299999999999995,0.826,0.773,0.0,0.14300000000000002,-4.218,0.0524,0.7609999999999999,126.899,4,238200,11,0,4QVBYiagIaa6ZGSPMbybpy,83,827312,https://i.scdn.co/image/59560d8ff7e8f7f8155dcae199b4f8828cce5cc7,0.25437194158582827,0.9769244758763286,0.8629775012483439,-0.2303494169391571,0.8138556998531831,-0.6808626732303268,1.2402827885103438,0.15464258704147033,-1.182389399790697
global,13.0,6Qs4SXO9dwPj5GKvVOv8Ki,560659214,Dancing With A Stranger (with Normani),Sam Smith,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,0.45,0.741,0.52,1.97e-06,0.222,-7.513,0.0656,0.34700000000000003,102.99799999999999,4,171030,8,1,2wY79sveU1sp5g7SokKOiI,92,11220622,https://i.scdn.co/image/871eeb6c9b0f60dfe982380d1357a7beb85fb3fd,0.7487267233554181,0.42540041486721675,-0.605840302370748,0.35073444400886505,-0.3729146712444254,-0.5649963458642919,-0.6386491265790883,-0.6232498131399149,0.8457450651849541
global,14.0,6vBdBCoOhKHiYDDOcorfNo,501130662,Goodbyes (Feat. Young Thug),Post Malone,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,0.447,0.58,0.653,0.0,0.111,-3.818,0.0745,0.175,150.231,4,174960,5,1,246dkjvS1zLTtiykXe5h60,100,21335421,https://i.scdn.co/image/93fec27f9aac86526b9010e882037afbda4e3d5f,0.7370490513451129,-0.6192510418676898,0.1663050252234782,-0.46572515808265985,0.9579249406541067,-0.48687435241295024,-1.419268183089674,0.9140160643450169,0.8457450651849541
global,15.0,70eFcWOvlMObDhURTqT4Fv,499741532,Beautiful People (feat. Khalid),Ed Sheeran,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,0.124,0.64,0.648,0.0,0.0802,-8.113,0.187,0.5479999999999999,92.977,4,197867,5,0,6eUKZXaKkcviH0Ku9w2n3V,98,57463755,https://i.scdn.co/image/f55cab0739390cf3b2c2f773b9c779b2f0ae8a99,-0.5202469684310875,-0.22993993997890444,0.13727700538910878,-0.6922743089332812,-0.5890185324458108,0.5006227558203017,0.27358593364549083,-0.9493976622766727,-1.182389399790697
global,16.0,6u7jPi22kF8CTQ3rb9DHE7,490147372,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7,0.0533,0.878,0.619,0.0,0.113,-5.56,0.102,0.639,136.041,4,157067,6,1,7jVv8c5Fj3E9VhNjxT4snq,87,2218983,https://i.scdn.co/image/12d5ab979779aa41e697ce823328d527e643e4cf,-0.795450772140615,1.314327430846609,-0.03108550965023393,-0.45101417426119095,0.3305033969660844,-0.24548617040037762,0.6865878763342312,0.45218211770789507,0.8457450651849541
global,17.0,2ksOAxtIxY8yElEWw8RhgK,486837636,China,Anuel AA,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,0.0846,0.7859999999999999,0.8079999999999999,0.00028900000000000003,0.0822,-3.702,0.0882,0.609,105.027,4,301714,7,1,2R21vXR83lH98kGeO99Y66,96,9911627,https://i.scdn.co/image/8eebdbd3738acd6a69228ed3240a06e4e53ca651,-0.6736137274997633,0.717383741283805,1.0661736400889292,-0.6775633251118123,0.9997050204863746,-0.3666191490103231,0.5504333897335476,-0.5572130916651633,0.8457450651849541
global,18.0,2TH65lNHgvLxCKXM3apjxI,478232047,Callaita,Bad Bunny,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,0.6,0.61,0.624,2.12e-06,0.243,-4.773,0.309,0.244,176.169,4,250534,2,1,4q3ewBCX7sLwd24euuV69X,98,17863391,https://i.scdn.co/image/22590f4021a00d1cad0821cc46a54395960342ee,1.3326103238706815,-0.42459549092329707,-0.0020574898158644975,0.5051997741342886,0.6139596282419016,1.5715085087488059,-1.106112863908102,1.7582055575003148,0.8457450651849541
global,19.0,2JvzF1RMd7lE3KmFlsyZD8,471425764,MIDDLE CHILD,J. Cole,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,0.149,0.8370000000000001,0.364,0.0,0.271,-11.713,0.276,0.46299999999999997,123.984,4,213594,8,1,6l3HvQ5sa6mXTsMTB19rO5,91,10036739,https://i.scdn.co/image/1e9eeefb2c94579150fc37916e8319b975ec8a52,-0.422933035011877,1.0482981778892733,-1.5115145212030736,0.7111535476348536,-1.8856416996541234,1.281842690333719,-0.11218511172311235,0.05976972203461948,0.8457450651849541
global,20.0,1rqqCSm0Qe4I9rUvWncaom,470921270,High Hopes,Panic! At The Disco,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,0.193,0.579,0.904,0.0,0.064,-2.7289999999999996,0.0618,0.6809999999999999,82.014,4,190947,5,1,20JZFwl6HVl6yg8a4H3ZqK,88,8777959,https://i.scdn.co/image/58518a04cdd1f20a24cf0545838f3a7b775f8080,-0.25166051219406643,-0.6257395602325029,1.6235116209088225,-0.8114332778871794,1.3501534487346214,-0.5983518037423929,0.8772041575751879,-1.3062042554396587,0.8457450651849541
